기업명,기업형태,지역,업종,자본금,매출액,대표자,설립일
백산종합건설,중소기업,경기 안양시,사무.상업용 및 공공기관용 건물 건설업,5억원,33억 7천만원,전운진,2006.09.28
백산종합건설,중소기업,전남 화순군,기타 토목시설물 건설업,,,,
월메이드,중소기업,서울 서대문구,시각 디자인업,,,,
월메이드,중소기업,경기 광명시,기타 공동 주택 건설업,,,,
혁성,중소기업,서울 도봉구,토목시설물 건설업,,,,
혁성,중소기업,충북 청주시,기타 도로화물 운송업,,,,
혁성,중소기업,서울 송파구,과실류 도매업,,,,
혁성,중소기업,경기 용인시,철골 및 관련 구조물 공사업,,,,
혁성,중소기업,경기 고양시,용달 화물자동차 운송업,,,,
혁성,중소기업,충북 충주시,그 외 기타 달리 분류되지 않은 제품 제조업,,,,
삼원특수지,중소기업,서울 광진구,백화점·유통·도소매,,,,
한양건설,중견기업,경기도 하남시,토목시설물 건설업,34억 5백만원,"2,213억 5천만원",김헌욱,1989.10.28
한양건설,중소기업,전북 정읍시,기타 토목시설물 건설업,10억원,98억 9백만원,임미옥,2008.01.01
한양건설,중소기업,경기 동두천시,콘크리트 및 철근 공사업,4억원,22억 8천만원,서지안,1995.02.01
한양건설,중소기업,전북 전주시,건설·시공·토목·조경,-,-,임종춘,-
한양건설,중소기업,충북 청주시,기타 토목시설물 건설업,15억 6천만원,89억 3천만원,조경훈/조천희,2011.07.07
한양건설,중소기업,경기 평택시,건물 건설업,5억원,12억 1천만원,옥두보,2018.11.26
한양건설,중소기업,서울 영등포구,그 외 기타 건축 마무리 공사업,5억원,67억 9천만원,박덕남/윤현철,2001.12.01
바투,중소기업,서울 영등포구,쇼핑몰·오픈마켓·소셜커머스,"1억 5,000만원",60억5천만,박인숙,2009
바투,중소기업,대전 유성구,전자감지장치 제조업,"1억 1,926만원","5,042만원",김재완,2018.10.16
바투,중소기업,서울 강남구,응용 소프트웨어 개발 및 공급업,"1억 8,000만원","4억 8,041만원",정종화,2018.05.11
바투,중소기업,강원 원주시,배관 및 냉ㆍ난방 공사업,3억원,166억 1천만원,안평원,2007.04.01
바투,중소기업,대구 달성군,섬유·의류·패션,"5,000만원",8억,유병철,2010.11.02
바투,중소기업,부산 기장군,문화·공연·예술,-,-,임현희,2014.05.02
히어리,중소기업,서울 동대문구,남녀용 겉옷 및 셔츠 도매업,,,,
프로텍트어베드코리아,중소기업,경기 성남시,백화점·유통·도소매,,,,
원우구조,중소기업,서울 강남구,건축설계 및 관련 서비스업,,,,
동국엔지니어링,중소기업,경북 고령군,건축·설비·환경,,,,
삼정주판,중소기업,경기 고양시,물류·운송·배송,-,-,김천수,-
제이엘씨,중소기업,대전 대덕구,"전자기 측정, 시험 및 분석기구 제조업",1억원,13억 6천만원,장지웅,2018.09.17
제이엘씨,중소기업,경기 하남시,화장품 제조업,"1억 5,000만원",159억 6천만원,이충식,2017.01.20
제이엘씨,중소기업,인천 서구,전기·전자·제어,1억원,11억,김영준,2021.07.07
제이엘씨,중소기업,경기 광명시,부동산 중개 및 대리업,-,-,박상훈,2017.08.23
